Food Name,Store Name,Rice,Noodle,Price,Halal,Spicy,Contains Beef,Contains Chicken,Contains Pork,Contains Dairy,Contains Seafood,Contains Nuts,Contains Eggs,Contain Onions,Contains Spring Onion,Contains Coriander,Contains Garlic,Contains Processed Food,Contains Sides,Ready-To-Serve,Waiting Time,Soup-Based,Dry-Based,High-Fibre Content,High Fried Content,Cuisine,Oil Content
Dry Pot Spicy Shrimp,Happiness Sunbo Food Mala,0,0,18.7,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,Average,0,1,0,0,Chinese,High
Dry Pot Four Treasures,Happiness Sunbo Food Mala,0,0,18.7,0,1,0,0,0,0,1,0,0,0,1,0,1,1,0,0,Average,0,1,1,0,Chinese,High
Dry Pot Octopus With Sauce,Happiness Sunbo Food Mala,0,0,18.7,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,Average,0,1,0,0,Chinese,High
Dry Pot Fat Intestine Chicken,Happiness Sunbo Food Mala,0,0,18.7,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,Average,0,1,0,0,Chinese,High
Dry Pot Seafood,Happiness Sunbo Food Mala,0,0,18.7,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,Average,0,1,0,0,Chinese,High
Dry Pot Pork Ribs And Shrimp,Happiness Sunbo Food Mala,0,0,18.7,0,1,0,0,1,0,1,0,0,0,1,0,1,0,0,0,Average,0,1,0,0,Chinese,High
Dry Pot Pork Hoof Steak,Happiness Sunbo Food Mala,0,0,18.7,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,Average,0,1,0,0,Chinese,High
Sichuan Crispy Fish,Happiness Sunbo Food Mala,0,0,14.2,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,Short,0,1,0,1,Chinese,High
Crispy Pork With Tofu,Happiness Sunbo Food Mala,0,0,13.3,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,Average,1,0,0,1,Chinese,High
Spicy Tender Beef,Happiness Sunbo Food Mala,0,0,13.3,0,1,1,0,0,0,0,0,0,0,1,1,1,0,0,0,Average,1,0,0,0,Chinese,High
Fresh Fish Fillet,Happiness Sunbo Food Mala,0,0,13.3,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Average,1,0,0,0,Chinese,High
Stir-Fried Pork,Happiness Sunbo Food Mala,0,0,8.9,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,Short,0,1,0,0,Chinese,High
Chongqing Spicy Chicken,Happiness Sunbo Food Mala,0,0,12,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,Short,0,1,0,1,Chinese,High
Spicy Fried Large Intestine,Happiness Sunbo Food Mala,0,0,12,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,Short,0,1,0,0,Chinese,High
Fried Pork With Chili,Happiness Sunbo Food Mala,0,0,8.9,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,Short,0,1,0,1,Chinese,High
Smoked Duck With Garlic Moss,Happiness Sunbo Food Mala,0,0,12,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Short,0,1,0,0,Chinese,High
Fish Head With Soy Sauce And Pepper,Happiness Sunbo Food Mala,0,0,18.7,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,Average,1,0,0,0,Chinese,High
Boiled Pork,Happiness Sunbo Food Mala,0,0,14.2,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,Average,1,0,0,0,Chinese,High
Pickled Fish,Happiness Sunbo Food Mala,0,0,14.2,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,Average,1,0,0,0,Chinese,High
Pot - Fried Pork,Happiness Sunbo Food Mala,0,0,14.2,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,Short,0,1,0,1,Chinese,High
Stir-Fried Chicken,Happiness Sunbo Food Mala,0,0,10.9,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,Short,0,1,1,0,Chinese,High
Boiled Beef,Happiness Sunbo Food Mala,0,0,14.2,0,1,1,0,0,0,0,0,0,0,1,1,1,0,0,0,Average,1,0,0,0,Chinese,High
Boiled Fish,Happiness Sunbo Food Mala,0,0,14.2,0,1,0,0,0,0,1,0,0,0,1,1,1,0,0,0,Average,1,0,0,0,Chinese,High
Chongqing Grilled Fish,Happiness Sunbo Food Mala,0,0,24.4,0,1,0,0,0,0,1,0,0,1,1,1,1,0,0,0,Average,1,0,0,0,Chinese,High
Mala Fried Rice With Chicken,Happiness Sunbo Food Mala,1,0,5,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,Short,0,1,0,1,Chinese,High
Mala Fried Rice With Seafood,Happiness Sunbo Food Mala,1,0,5.3,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,Short,0,1,0,1,Chinese,High
Fried Rice With Tomato,Happiness Sunbo Food Mala,1,0,4.4,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,Short,0,1,0,1,Chinese,High
Stir-fry Mala (Beef / Vegetable / Processed Food),Happiness Sunbo Food Mala,1,1,6,0,1,1,0,0,0,0,0,0,1,0,1,1,1,0,0,Average,0,1,1,0,Chinese,High
Stir-fry Mala (Chicken / Vegetable / Processed Food),Happiness Sunbo Food Mala,1,1,6,0,1,0,1,0,0,0,0,0,1,0,1,1,1,0,0,Average,0,1,1,0,Chinese,High
Stir-fry Mala (Pork / Vegetable / Processed Food),Happiness Sunbo Food Mala,1,1,6,0,1,0,0,1,0,0,0,0,1,0,1,1,1,0,0,Average,0,1,1,0,Chinese,High
Stir-fry Mala (Seafood / Vegetable / Processed Food),Happiness Sunbo Food Mala,1,1,7,0,1,0,0,0,0,1,0,0,1,0,1,1,1,0,0,Average,0,1,1,0,Chinese,High
Stir-fry Mala (Pork / Beef / Vegetable / Processed Food),Happiness Sunbo Food Mala,1,1,9,0,1,1,0,1,0,0,0,0,1,0,1,1,1,0,0,Average,0,1,1,0,Chinese,High
